"","docname","from","to","pre","keyword","post","pattern","prekeypost","ID"
"1","text2",38,38,"丝路 故事 日益 丰富 一带一路","百年未有之大变局","世界 重要 动力 定力","百年未有之大变局","丝路 故事 日益 丰富 一带一路 百年未有之大变局 世界 重要 动力 定力",1
"2","text3",2,2,"当今世界","百年未有之大变局","东北亚地区 历史性 转变 涉及 力量对比","百年未有之大变局","当今世界 百年未有之大变局 东北亚地区 历史性 转变 涉及 力量对比",2
"3","text4",2,2,"当今世界","百年未有之大变局","财富 权利 转移 带来 文化","百年未有之大变局","当今世界 百年未有之大变局 财富 权利 转移 带来 文化",3
"4","text5",41,41,"重大 挑战 准确 把握 习近平","百年未有之大变局","科学 含义 化解 政治经济 风险","百年未有之大变局","重大 挑战 准确 把握 习近平 百年未有之大变局 科学 含义 化解 政治经济 风险",4
"5","text6",6,6,"中国 领导人 中央外事工作委员会会议上 纵观 国际局势","百年未有之大变局","见解 高屋建瓴 切中要害 中央经济工作会议 中国","百年未有之大变局","中国 领导人 中央外事工作委员会会议上 纵观 国际局势 百年未有之大变局 见解 高屋建瓴 切中要害 中央经济工作会议 中国",5
"6","text6",17,17,"领导人 变局 危和机 同生并存 阐述","""百年未有之大变局""","深刻思想 指导 工作 政治性 理论性","百年未有之大变局","领导人 变局 危和机 同生并存 阐述 ""百年未有之大变局"" 深刻思想 指导 工作 政治性 理论性",6
"7","text6",32,32,"思想界 兴起 讨论 认识 领会","""百年未有之大变局""","深刻思想 避免 误读 误判 国内","百年未有之大变局","思想界 兴起 讨论 认识 领会 ""百年未有之大变局"" 深刻思想 避免 误读 误判 国内",7
"8","text7",2,2,"正确理解","百年未有之大变局","应当 三个方面 来看 百年未有之大变局 物质基础","百年未有之大变局","正确理解 百年未有之大变局 应当 三个方面 来看 百年未有之大变局 物质基础",8
"9","text7",6,6,"正确理解 百年未有之大变局 应当 三个方面 来看","百年未有之大变局","物质基础 什么 这种 变局 怎样","百年未有之大变局","正确理解 百年未有之大变局 应当 三个方面 来看 百年未有之大变局 物质基础 什么 这种 变局 怎样",9
"10","text7",18,18,"世界 引向 何处 作者 认为","百年未有之大变局","物质基础 国际分工 中国 地位 上升","百年未有之大变局","世界 引向 何处 作者 认为 百年未有之大变局 物质基础 国际分工 中国 地位 上升",10
"11","text7",38,38,"中国 世界经济 影响力 正是 这种","百年未有之大变局","重要 经济基础 这种 大变局 只是","百年未有之大变局","中国 世界经济 影响力 正是 这种 百年未有之大变局 重要 经济基础 这种 大变局 只是",11
